page_id,bank,bank_category,product_family,page_role,url,language,captured_at,collection_method,robots_allowed,snapshot_html_path,screenshot_path,data_source,extraction_model,capture_quality,http_status,shadow_hosts_flattened,capture_quality_note,word_count,sentence_count,avg_sentence_length,readability_score,readability_formula,readability_band,word_count_band,sentence_count_band,avg_sentence_length_band,second_person_ratio_band,first_person_plural_band,disclaimer_word_share_band,text_to_image_ratio_band,second_person_ratio,first_person_plural_count,question_count,urgency_marker_count,numeric_claim_count,formality_score,clarity_score,primary_product,rate_shown,rate_value_pct,rate_prominence,benefit_framing,fab_level,value_prop_clarity,disclaimer_present,disclaimer_word_share,image_count,hero_image_present,hero_image_area_ratio,total_image_area_ratio,animated_asset_count,has_animation,dominant_image_type,people_present,imagery_register,dominant_colour_hex,palette_hex,brand_colour_share,accent_colour_count,accent_locations,background_luminance,cta_contrast_ratio,page_height_px,section_count,cta_count,cta_above_fold,text_image_layout,text_to_image_ratio,above_fold_element_count,has_comparison_table,layout_archetype,mobile_first_design_signal,aida_attention,aida_interest,aida_desire,aida_action,aida_coverage_score,persuasion_levers,persuasion_lever_count,audience_segment,is_bundled_offer,cross_sell_delivery_model,target_personas,cross_sold_products,subscription_style_framing,rate_framing,primary_cta_type,switching_framing,regulatory_disclosure_prominence,hidden_conditions_behind_free_claim,esg_claim_specificity,green_product_specific_benefit,mentions_loyalty_or_referral,images_have_alt_text,meta_title,institutional_trust_signal_present,youth_student_targeting,secondary_bank_positioning,expat_cross_border_targeting,branch_network_cited_as_benefit,fast_digital_onboarding_claim,first_time_investor_targeting,senior_preretirement_targeting
argenta_current_account_pack_fr_01,argenta,traditional,current_account_pack,campaign_landing,https://www.argenta.be/fr/formules.html,fr,2026-09-21 09:20:48.680190+00:00,headless_render,True,data/raw/argenta/current_account_pack_fr_01.html,data/raw/argenta/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,1831,46,39.8,20.3,kandel_moles_fr,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.746,16,4,2,33,2.0,4.0,La Formule Silver / Gold / Green,False,,above_fold,rational,feature,4.0,True,0.009,11,True,0.025,0.023,0,False,photo,True,lifestyle,#ffffff,#ffffff|#b6bbb9|#f0f2f1|#fdfdfd|#fefffe,0.004,4,icons|buttons|text,0.606,4.94,3244,3,1,False,beside,166.45,34,True,split_columns,True,False,True,False,True,2,<NA>,,retail,True,not_applicable,mass_market,,False,not_shown,self_service_online,not_applicable,not_applicable,False,vague_adjective_only,False,False,False,Découvrez nos formules | Argenta,False,False,False,False,False,False,False,False
crelan_current_account_pack_fr_01,crelan,traditional,current_account_pack,campaign_landing,https://www.crelan.be/fr/particuliers/payer/comptes-vue/produit/economy-plus-pack,fr,2026-09-21 09:21:23.281754+00:00,headless_render,True,data/raw/crelan/current_account_pack_fr_01.html,data/raw/crelan/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,2315,86,26.92,34.4,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,image_heavy,0.828,16,47,0,5,2.0,4.0,Performance Pack,False,,above_fold,rational,advantage,3.0,False,0.0,72,True,0.004,0.002,1,True,photo,True,lifestyle,#ffffff,#ffffff|#f8f8f8|#72776e|#edeeee|#fffdff,0.006,4,<NA>,0.441,11.03,2945,154,2,False,overlaid,32.15,41,False,hero_stacked,False,False,True,True,True,3,<NA>,,retail,True,internal_advisor_led,mass_market,,False,not_shown,book_advisor_or_branch,not_applicable,not_applicable,False,no_claim,False,False,True,Performance Pack | Crelan,False,False,False,False,False,False,False,False
bunq_current_account_pack_fr_01,bunq,challenger,current_account_pack,campaign_landing,https://www.bunq.com/fr-be/personal/plans/bunq-free,fr,2026-09-21 09:21:59.497148+00:00,headless_render,True,data/raw/bunq/current_account_pack_fr_01.html,data/raw/bunq/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,1763,101,17.46,51.7,kandel_moles_fr,medium,long,long,medium_sentences,mostly_direct,frequent,heavy,text_heavy,0.889,8,8,3,10,1.0,5.0,bunq Free - Ton compte bancaire gratuit,True,3.01,below_fold,mixed,advantage,5.0,True,0.15,13,True,0.293,0.167,1,True,illustration,False,product,#000000,#000000|#141315|#2f363b|#000002|#0e0006,0.0,4,imagery|background,0.041,1.0,15135,33,19,False,beside,135.62,19,False,hero_stacked,True,True,True,True,True,4,liking|social_proof|reciprocity,3,retail,True,partner_addon_digital,mass_market|expat,savings_account|investment,False,base_rate,self_service_online,not_applicable,present_not_prominent,False,no_claim,False,False,False,bunq Free : pas de frais mensuels,False,False,False,True,False,True,False,False
belfius_current_account_pack_fr_02,belfius,traditional,current_account_pack,campaign_landing,https://www.belfius.be/retail/fr/produits/paiement/compte-bancaire/,fr,2026-09-21 09:22:20.400045+00:00,headless_render,True,data/raw/belfius/current_account_pack_fr_02.html,data/raw/belfius/current_account_pack_fr_02.png,real,deepseek/deepseek-flash,ok,200,3,looks like a campaign page,1812,82,22.1,46.4,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.688,25,14,0,18,,,Comptes de paiement Beats,False,,,rational,feature,,True,0.023,18,True,0.333,0.149,1,True,illustration,True,lifestyle,#ffffff,#ffffff|#422739|#96858b|#f0eaec|#feffff,0.003,4,<NA>,0.325,6.16,11110,20,5,False,,100.67,21,True,,,,,,,,<NA>,,retail,True,partner_addon_digital,mass_market,other,False,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,False,Comptes de paiement pour tous vos besoins - Belfius,False,True,False,False,False,False,False,False
vdk_current_account_pack_fr_01,vdk,traditional,current_account_pack,campaign_landing,https://www.vdk.be/fr/particuliers/services-bancaires-au-quotidien/comptes-de-paiement/compte-vue-you-count,fr,2026-09-21 09:22:47.278245+00:00,headless_render,True,data/raw/vdk/current_account_pack_fr_01.html,data/raw/vdk/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,3992,217,18.4,42.7,kandel_moles_fr,hard,long,long,medium_sentences,mostly_direct,frequent,minimal,text_heavy,0.797,43,28,1,3,2.0,4.0,Compte à vue You Count,False,,absent,mixed,feature,4.0,True,0.007,5,True,0.308,0.114,1,True,photo,True,lifestyle,#ffffff,#ffffff|#5a4f4a|#3a3534|#dad8d7|#feffff,0.0,4,buttons|background,0.329,10.25,4290,5,3,True,overlaid,798.4,37,True,hero_stacked,False,True,True,False,True,3,<NA>,,retail,True,not_applicable,student,,False,not_shown,self_service_online,acquisition_encouragement,not_applicable,False,no_claim,False,False,False,Compte à vue You Count | vdk banque,False,True,False,False,False,False,False,False
hellobank_current_account_pack_fr_01,hellobank,traditional,current_account_pack,campaign_landing,https://www.hellobank.be/fr/notre-offre/comptes-et-cartes/compte-all-in-gratuit,fr,2026-09-21 09:23:24.270564+00:00,headless_render,True,data/raw/hellobank/current_account_pack_fr_01.html,data/raw/hellobank/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,1661,71,23.39,43.1,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.595,47,11,0,5,2.0,4.0,Le compte de paiement all-in gratuit,False,,absent,rational,feature,3.0,True,0.022,15,True,0.369,0.322,0,False,illustration,True,mixed,#ffffff,#ffffff|#64949d|#f8fbfb|#dbe7e9|#fffdfd,0.057,4,buttons|imagery|text,0.515,3.04,3881,6,2,False,beside,110.73,31,False,split_columns,False,True,True,True,True,4,<NA>,,retail,False,not_applicable,mass_market,,False,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,False,Le compte à vue gratuit | Hello bank!,False,False,False,False,False,False,False,False
cbc_current_account_pack_fr_01,cbc,traditional,current_account_pack,campaign_landing,https://www.cbc.be/particuliers/fr/produits/paiements/comptes-a-vue/compte-bancaire-gratuit.html,fr,2026-09-21 09:23:42.897338+00:00,headless_render,True,data/raw/cbc/current_account_pack_fr_01.html,data/raw/cbc/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,1,looks like a campaign page,2613,94,27.8,26.0,kandel_moles_fr,very_hard,long,long,long_sentences,mostly_direct,frequent,heavy,text_heavy,0.836,20,26,0,19,2.0,4.0,Compte à vue 100% online - 100% gratuit,False,,absent,rational,feature,3.0,True,0.774,12,True,0.174,0.046,1,True,photo,True,lifestyle,#ffffff,#ffffff|#f5f8fa|#869fb2|#feffff|#fffffe,0.001,4,background|text|buttons,0.363,12.24,4447,1,5,False,beside,217.75,42,True,hero_stacked,True,True,False,False,True,2,commitment,1,retail,False,not_applicable,mass_market,,False,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,False,Compte à vue 100% online - 100% gratuit  - CBC Banque et Assurance,False,False,False,False,False,False,False,False
keytrade_current_account_pack_fr_01,keytrade,challenger,current_account_pack,campaign_landing,https://www.keytradebank.be/fr/banque/keypack,fr,2026-09-21 09:24:07.526900+00:00,headful_render,True,data/raw/keytrade/current_account_pack_fr_01.html,data/raw/keytrade/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,1193,65,18.35,48.5,kandel_moles_fr,hard,long,long,medium_sentences,mostly_direct,frequent,minimal,balanced,0.614,34,7,0,1,2.0,4.0,KEYPACK - Le compte à vue en ligne,False,,absent,rational,benefit,3.0,False,0.0,21,True,0.229,0.26,1,True,photo,True,lifestyle,#e6f1f4,#e6f1f4|#ffffff|#536266|#c2cfd5|#fdfdfd,0.0,4,buttons|imagery|background|icons|text,0.27,1.0,6440,10,3,False,beside,56.81,28,False,split_columns,False,True,True,True,True,4,reciprocity,1,retail,True,internal_advisor_led,mass_market|investor,savings_account|investment,False,not_shown,self_service_online,acquisition_encouragement,not_applicable,True,no_claim,False,False,False,KEYPACK - Le compte à vue en ligne | Keytrade Bank,False,True,False,False,False,False,False,False
beobank_current_account_pack_fr_01,beobank,traditional,current_account_pack,campaign_landing,https://www.beobank.be/fr/payer/comptes-courants/compte-go.html,fr,2026-09-21 09:24:24.629230+00:00,headless_render,True,data/raw/beobank/current_account_pack_fr_01.html,data/raw/beobank/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,3310,146,22.67,33.6,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.603,75,30,0,14,2.0,3.0,Compte Go,False,,absent,rational,feature,4.0,True,0.016,16,True,0.173,0.109,0,False,photo,True,lifestyle,#ffffff,#ffffff|#f3f2f4|#9b9498|#fdfdfd|#fefffe,0.012,4,buttons|text|background,0.299,8.32,7078,18,9,False,beside,206.88,45,False,split_columns,False,False,True,False,True,2,social_proof|liking,2,retail,True,not_applicable,mass_market,,False,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,True,False,Ouvrir un compte à vue gratuit | Compte Go | Beobank,False,False,False,False,False,False,False,False
argenta_investment_fr_03,argenta,traditional,investment,campaign_landing,https://www.argenta.be/fr/investir.html,fr,2026-09-21 09:24:55.711048+00:00,headless_render,True,data/raw/argenta/investment_fr_02.html,data/raw/argenta/investment_fr_02.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,1555,88,17.67,41.2,kandel_moles_fr,hard,long,long,medium_sentences,mostly_direct,frequent,minimal,text_heavy,0.835,19,15,1,2,2.0,3.0,Commencer à investir,False,,absent,rational,benefit,3.0,True,0.01,10,True,0.003,0.063,0,False,illustration,False,abstract,#ffffff,#ffffff|#9ba09c|#f0f1f1|#fbfbfb|#fefffe,0.006,4,buttons|text|icons,0.572,4.94,4811,,3,False,overlaid,155.5,34,False,split_columns,True,False,True,True,True,3,commitment,1,retail,False,not_applicable,investor,,False,not_shown,self_service_online,not_applicable,absent,False,no_claim,False,False,False,Commencer à investir | Argenta,False,False,False,False,False,False,True,False
argenta_pension_fr_04,argenta,traditional,pension,campaign_landing,https://www.argenta.be/fr/investir/epargne-pension.html,fr,2026-09-21 09:25:16.842507+00:00,headless_render,True,data/raw/argenta/pension_fr_03.html,data/raw/argenta/pension_fr_03.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,1514,82,18.46,36.2,kandel_moles_fr,hard,long,long,medium_sentences,mostly_direct,frequent,minimal,text_heavy,0.835,18,17,1,7,2.0,3.0,Épargne-pension,False,,absent,rational,feature,3.0,True,0.011,8,True,0.003,0.005,0,False,photo,True,lifestyle,#ffffff,#ffffff|#f7f7f7|#afaea8|#fefefe|#fffeff,0.003,4,buttons|text|icons,0.565,4.94,5824,,3,False,overlaid,189.25,32,False,split_columns,True,False,False,True,True,2,commitment,1,retail,False,not_applicable,mass_market,,False,not_shown,self_service_online,not_applicable,absent,False,no_claim,False,False,False,Épargne-pension | Argenta,False,False,False,False,False,False,False,True
belfius_savings_account_fr_04,belfius,traditional,savings_account,campaign_landing,https://www.belfius.be/site/retail/fr/produits/epargner,fr,2026-09-21 09:25:51.934157+00:00,headless_render,True,data/raw/belfius/savings_account_fr_03.html,data/raw/belfius/savings_account_fr_03.png,real,deepseek/deepseek-flash,ok,200,3,looks like a campaign page,952,55,17.31,49.1,kandel_moles_fr,hard,long,long,medium_sentences,mostly_direct,frequent,minimal,balanced,0.642,29,13,0,0,2.0,4.0,Comptes d'épargne (Épargner),False,,absent,emotional,benefit,4.0,False,0.0,14,True,0.333,0.229,1,True,photo,True,lifestyle,#ffffff,#ffffff|#45122d|#746b6c|#f2eeef|#fdffff,0.033,4,buttons|background|buttons,0.335,6.16,3649,17,2,False,beside,68.0,21,False,split_columns,False,False,False,False,True,1,<NA>,,retail,True,internal_advisor_led,family|investor|retiree|mass_market,investment|pension,False,not_shown,book_advisor_or_branch,not_applicable,absent,False,no_claim,False,False,False,Épargnez maintenant pour plus tard – Belfius,False,False,False,False,False,False,False,True
beobank_investment_fr_03,beobank,traditional,investment,campaign_landing,https://www.beobank.be/fr/investir.html,fr,2026-09-21 09:26:06.188215+00:00,headless_render,True,data/raw/beobank/investment_fr_02.html,data/raw/beobank/investment_fr_02.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,2490,109,22.84,24.0,kandel_moles_fr,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.516,88,17,0,2,2.0,3.0,Investir avec Beobank,False,,absent,mixed,benefit,2.0,True,0.014,11,True,0.173,0.079,0,False,photo,True,lifestyle,#ffffff,#ffffff|#f0eff2|#858086|#fefefe|#fffeff,0.006,4,buttons|text|imagery|background,0.274,8.32,4460,10,20,False,beside,226.36,47,False,split_columns,False,False,False,False,False,0,<NA>,,retail,False,not_applicable,investor,,False,not_shown,self_service_online,not_applicable,present_not_prominent,False,vague_adjective_only,False,False,False,Investir avec Beobank | Beobank,False,False,False,False,False,False,True,False
